id,libelle,statut,etat commerc,agrement col,tx rembours,forme pharma,voies admin,statut admin,date declar annee,date amm annee,type proc,titulaires,prix
1802_train,"plaquette(s) formée(s) à froid aluminium de 28 comprimé(s) de type ""peel off""",Présentation active,Déclaration de commercialisation,oui,65%,comprimé orodispersible,orale,Autorisation active,20110101,20090101,Procédure nationale, EG LABO - LABORATOIRES EUROGENERICS,43.5
1711_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,Déclaration de commercialisation,oui,65%,comprimé pelliculé,orale,Autorisation active,20120101,20090101,Procédure décentralisée, SANDOZ,5.71
4564_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 20 comprimé(s),Présentation active,Déclaration de commercialisation,oui,30%,comprimé enrobé,orale,Autorisation active,19830101,19810101,Procédure nationale, SANOFI AVENTIS FRANCE,7.07
5709_train,1 flacon(s) polypropylène de 50 ml avec seringue(s) microperfuseur,Présentation active,Déclaration de commercialisation,oui,65%,solution injectable,"intra-artérielle,intraveineuse",Autorisation active,19910101,19840101,Procédure nationale, GE HEALTHCARE,24.06
2683_train,20 sachet(s)-dose(s) aluminium polyéthylène polyester de 15 ml,Présentation active,Déclaration de commercialisation,oui,30%,solution buvable,orale,Autorisation active,19850101,19830101,Procédure nationale, MYLAN MEDICAL,2.33
8008_train,plaquette(s) thermoformée(s) PVC-Aluminium de 4 comprimé(s),Présentation active,Déclaration d'arrêt de commercialisation,non,65%,comprimé,orale,Autorisation active,20130101,20100101,Procédure nationale, ACTAVIS GROUP PTC (ISLANDE),13.18
6112_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,Déclaration de commercialisation,oui,65%,comprimé pelliculé sécable,orale,Autorisation active,20100101,20090101,Procédure nationale, CRISTERS,18.14
7313_train,1 flacon(s) polyéthylène de 30  ml avec seringue(s) doseuse(s),Présentation active,Déclaration de commercialisation,oui,30%,solution buvable,orale,Autorisation active,19940101,19930101,Procédure nationale, CRINEX,1.25
527_train,plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s),Présentation active,Déclaration d'arrêt de commercialisation,non,65%,comprimé pelliculé,orale,Autorisation active,20140101,20060101,Procédure nationale, TEVA SANTE,1.6
6248_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s),Présentation active,Déclaration de commercialisation,oui,65%,comprimé sécable,orale,Autorisation active,20050101,19980101,Procédure nationale, BIOGARAN,1.14
